condition,repeat,kind,path,bitrate,duration_s,rc,run_dir
A,1,single,lte1,6M,120,0,results/exp2b-stationary-20260813/runs/20260813-214930_exp2b_A_lte1_6M_r1_lte1_udp_upload
A,2,single,lte1,6M,120,0,results/exp2b-stationary-20260813/runs/20260813-215244_exp2b_A_lte1_6M_r2_lte1_udp_upload
A,3,single,lte1,6M,120,0,results/exp2b-stationary-20260813/runs/20260813-215551_exp2b_A_lte1_6M_r3_lte1_udp_upload
A,1,single,lte2,6M,120,0,results/exp2b-stationary-20260813/runs/20260813-215854_exp2b_A_lte2_6M_r1_lte2_udp_upload
A,2,single,lte2,6M,120,0,results/exp2b-stationary-20260813/runs/20260813-220158_exp2b_A_lte2_6M_r2_lte2_udp_upload
A,3,single,lte2,6M,120,0,results/exp2b-stationary-20260813/runs/20260813-220501_exp2b_A_lte2_6M_r3_lte2_udp_upload
A,1,dual,lte1+lte2,6M,300,0,results/exp2b-stationary-20260813/runs/20260813-220814_exp2b_A_dual_6M_r1
A,2,dual,lte1+lte2,6M,300,0,results/exp2b-stationary-20260813/runs/20260813-221432_exp2b_A_dual_6M_r2
