timestamp_local,tag,path,lte_interface,source_ip,server,server_port,protocol,direction,target_bitrate,actual_mbps,udp_loss_percent,udp_jitter_ms,tcp_retransmits,ping_avg_ms,ping_p95_ms,ping_loss_percent,rsrp_median,rsrq_median,sinr_median,cqi_median,ri_median,primary_bands_seen,ca_bands_seen,ca_missing_samples,cell_changes,source_rule_bytes_delta,source_rule_packets_delta,lte_tx_bytes_delta,lte_rx_bytes_delta,other_lte_tx_bytes_delta,other_lte_rx_bytes_delta,path_verification,test_dir
2026-08-13T21:49:30+03:00,exp2b_A_lte1_6M_r1,lte1,lte1,192.168.101.201,194.127.172.176,5203,udp,upload,6M,2.340477556220807,0,8.78207215758838,,2947.004,5078.0,41.9355,-102.0,-8.0,18.0,0.0,2.0,B1@15Mhz earfcn: 523 phy-cellid: 69|B38@20Mhz earfcn: 37900 phy-cellid: 3,B38@20Mhz earfcn: 38098 phy-cellid: 3,15,1,92163520,75738,93299798,60251,0,0,PASS,results/exp2b-stationary-20260813/runs/20260813-214930_exp2b_A_lte1_6M_r1_lte1_udp_upload
2026-08-13T21:52:44+03:00,exp2b_A_lte1_6M_r2,lte1,lte1,192.168.101.201,194.127.172.176,5203,udp,upload,6M,5.99419588557685,0,3.3961904494224187,,33.103,53.4,4.1847,-91.0,-14.0,4.0,9.0,2.0,B1@15Mhz earfcn: 523 phy-cellid: 69,,140,0,92159811,75714,95111745,111669,0,0,PASS,results/exp2b-stationary-20260813/runs/20260813-215244_exp2b_A_lte1_6M_r2_lte1_udp_upload
2026-08-13T21:55:51+03:00,exp2b_A_lte1_6M_r3,lte1,lte1,192.168.101.201,194.127.172.176,5203,udp,upload,6M,3.4383717645536764,0,1.486300244234137,,1601.864,6127.0,34.1317,-102.0,-7.0,11.0,0.0,2.0,B1@15Mhz earfcn: 523 phy-cellid: 69|B38@20Mhz earfcn: 38098 phy-cellid: 3|B3@15Mhz earfcn: 1875 phy-cellid: 69,B38@20Mhz earfcn: 37900 phy-cellid: 3,66,2,92157534,75686,94108117,78764,0,0,PASS,results/exp2b-stationary-20260813/runs/20260813-215551_exp2b_A_lte1_6M_r3_lte1_udp_upload
2026-08-13T21:58:54+03:00,exp2b_A_lte2_6M_r1,lte2,lte2,192.168.101.202,194.127.172.176,5204,udp,upload,6M,5.994090414317749,0,1.9304543204588844,,23.087,28.8,0.0,-100.0,-11.5,9.0,0.0,,B3@20Mhz earfcn: 1344 phy-cellid: 66|B7@20Mhz earfcn: 3248 phy-cellid: 171,B20@10Mhz earfcn: 6300 phy-cellid: 364,0,1,92158119,75693,98551376,148744,0,0,PASS,results/exp2b-stationary-20260813/runs/20260813-215854_exp2b_A_lte2_6M_r1_lte2_udp_upload
2026-08-13T22:01:58+03:00,exp2b_A_lte2_6M_r2,lte2,lte2,192.168.101.202,194.127.172.176,5204,udp,upload,6M,5.9932360557069835,0,1.8200923901968162,,24.604,32.7,0.0,-103.0,-10.5,13.0,0.0,,B7@20Mhz earfcn: 3248 phy-cellid: 171,B3@20Mhz earfcn: 1344 phy-cellid: 66,0,0,92168201,75700,94193740,89628,0,0,PASS,results/exp2b-stationary-20260813/runs/20260813-220158_exp2b_A_lte2_6M_r2_lte2_udp_upload
2026-08-13T22:05:01+03:00,exp2b_A_lte2_6M_r3,lte2,lte2,192.168.101.202,194.127.172.176,5204,udp,upload,6M,5.995257351750942,0,2.0925197077368214,,22.863,28.6,0.0,-100.0,-9.0,15.0,0.0,,B7@20Mhz earfcn: 3248 phy-cellid: 171,B20@10Mhz earfcn: 6300 phy-cellid: 364,1,0,92158122,75693,98378354,144193,0,0,PASS,results/exp2b-stationary-20260813/runs/20260813-220501_exp2b_A_lte2_6M_r3_lte2_udp_upload
