timestamp_local,tag,path,lte_interface,source_ip,server,server_port,protocol,direction,target_bitrate,actual_mbps,udp_loss_percent,udp_jitter_ms,tcp_retransmits,ping_avg_ms,ping_p95_ms,ping_loss_percent,rsrp_median,rsrq_median,sinr_median,cqi_median,ri_median,primary_bands_seen,ca_bands_seen,ca_missing_samples,cell_changes,source_rule_bytes_delta,source_rule_packets_delta,lte_tx_bytes_delta,lte_rx_bytes_delta,other_lte_tx_bytes_delta,other_lte_rx_bytes_delta,path_verification,test_dir
2026-08-13T22:47:41+03:00,exp2b_A_lte1_6M_r1,lte1,lte1,192.168.101.201,163.172.208.7,5208,udp,upload,6M,5.9999794000707265,0,1.132,,29.691,49.9,0.148148,-90.0,-13.0,2.0,11.0,2.0,B1@15Mhz earfcn: 523 phy-cellid: 69|B3@15Mhz earfcn: 1875 phy-cellid: 69,,136,0,92158122,75693,93217530,66931,0,0,PASS,results/exp2b-stationary-20260813-scaleway/runs/20260813-224741_exp2b_A_lte1_6M_r1_lte1_udp_upload
2026-08-13T22:50:44+03:00,exp2b_A_lte1_6M_r2,lte1,lte1,192.168.101.201,163.172.208.7,5208,udp,upload,6M,5.99998020006534,0,2.701,,31.927,58.8,0.0,-90.0,-11.5,5.0,11.0,2.0,B1@15Mhz earfcn: 523 phy-cellid: 69,,136,0,92158121,75693,95732075,130578,0,0,PASS,results/exp2b-stationary-20260813-scaleway/runs/20260813-225044_exp2b_A_lte1_6M_r2_lte1_udp_upload
2026-08-13T22:53:47+03:00,exp2b_A_lte1_6M_r3,lte1,lte1,192.168.101.201,163.172.208.7,5208,udp,upload,6M,5.999979900067335,0,1.434,,27.091,36.8,0.148148,-94.0,-10.5,10.0,13.0,2.0,B1@15Mhz earfcn: 523 phy-cellid: 69|B7@20Mhz earfcn: 2850 phy-cellid: 69,,136,0,92158121,75693,94203919,92484,0,0,PASS,results/exp2b-stationary-20260813-scaleway/runs/20260813-225347_exp2b_A_lte1_6M_r3_lte1_udp_upload
2026-08-13T22:56:50+03:00,exp2b_A_lte2_6M_r1,lte2,lte2,192.168.101.202,163.172.208.7,5201,udp,upload,6M,5.999819100630133,0,2.002,,22.654,28.5,0.0,-101.0,-10.0,10.0,0.0,,B3@20Mhz earfcn: 1344 phy-cellid: 66,B7@20Mhz earfcn: 3050 phy-cellid: 156,0,0,92158119,75693,97825893,141638,0,0,PASS,results/exp2b-stationary-20260813-scaleway/runs/20260813-225650_exp2b_A_lte2_6M_r1_lte2_udp_upload
2026-08-13T22:59:54+03:00,exp2b_A_lte2_6M_r2,lte2,lte2,192.168.101.202,163.172.208.7,5201,udp,upload,6M,5.984060651537226,0,2.391,,23.484,28.7,0.148148,-99.0,-12.0,7.0,0.0,,B3@20Mhz earfcn: 1344 phy-cellid: 66|B7@20Mhz earfcn: 3050 phy-cellid: 156,B20@10Mhz earfcn: 6300 phy-cellid: 329|B20@10Mhz earfcn: 6300 phy-cellid: 364|B7@20Mhz earfcn: 3248 phy-cellid: 171,0,1,92168202,75700,94683806,97507,0,0,PASS,results/exp2b-stationary-20260813-scaleway/runs/20260813-225954_exp2b_A_lte2_6M_r2_lte2_udp_upload
2026-08-13T23:02:57+03:00,exp2b_A_lte2_6M_r3,lte2,lte2,192.168.101.202,163.172.208.7,5201,udp,upload,6M,5.9999771500870205,0,1.868,,24.118,30.8,0.0,-102.0,-10.0,10.0,0.0,,B3@20Mhz earfcn: 1344 phy-cellid: 66|B7@20Mhz earfcn: 3248 phy-cellid: 171,B3@20Mhz earfcn: 1344 phy-cellid: 66|B7@20Mhz earfcn: 3050 phy-cellid: 156,1,1,92158122,75693,96723700,131798,0,0,PASS,results/exp2b-stationary-20260813-scaleway/runs/20260813-230257_exp2b_A_lte2_6M_r3_lte2_udp_upload
