path,udp_receiver_mbps,udp_loss_percent,udp_jitter_ms,ping_median_ms,ping_p95_ms,ping_max_ms,ping_loss_percent,pct_rtt_gt_100ms,pct_rtt_gt_500ms,pct_rtt_gt_1000ms,rsrp_median,rsrq_median,sinr_median,cqi_median,ri_median,ca_bands_seen
lte1,,,,25.75,34.7,156.0,0.497512,0.5,0.0,0.0,-88.0,-14.0,10.0,13.0,2.0,
lte2,0.9979867568617949,0,0.34204268435330276,21.4,30.6,37.8,0.0,0.0,0.0,0.0,-96.0,-11.0,9.0,13.0,2.0,
