path,udp_receiver_mbps,udp_loss_percent,udp_jitter_ms,ping_median_ms,ping_p95_ms,ping_max_ms,ping_loss_percent,pct_rtt_gt_100ms,pct_rtt_gt_500ms,pct_rtt_gt_1000ms,rsrp_median,rsrq_median,sinr_median,cqi_median,ri_median,ca_bands_seen
lte1,0.99788516020909,0,6.38363198505123,22.5,41.6,647.0,6.96517,2.1390374331550803,0.5347593582887701,0.0,-81.0,-11.0,7.0,12.0,2.0,
lte2,,,,26.0,32.7,208.0,0.0,1.492537313432836,0.0,0.0,-94.0,-10.0,6.0,13.0,1.0,
